title,lyrics
Let It Be,"When I find myself in times of trouble, Mother Mary comes to me
Speaking words of wisdom, let it be
And in my hour of darkness she is standing right in front of me
Speaking words of wisdom, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be

And when the broken hearted people living in the world agree
There will be an answer, let it be
For though they may be parted, there is still a chance that they will see
There will be an answer, let it be
Let it be, let it be, let it be, let it be
There will be an answer, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be

And when the night is cloudy there is still a light that shines on me
Shine until tomorrow, let it be
I wake up to the sound of music, Mother Mary comes to me
Speaking words of wisdom, let it be
Let it be, let it be, let it be, yeah, let it be
There will be an answer, let it be
Let it be, let it be, let it be, yeah, let it be
Whisper words of wisdom, let it be"
The Long and Winding Road,"The long and winding road
That leads to your door
Will never disappear
I've seen that road before
It always leads me here
Lead me to you door

The wild and windy night
That the rain washed away
Has left a pool of tears
Crying for the day
Why leave me standing here
Let me know the way

Many times I've been alone
And many times I've cried
Any way you'll never know
The many ways I've tried

And still they lead me back
To the long winding road
You left me standing here
A long long time ago
Don't leave me waiting here
Lead me to your door

But still they lead me back
To the long winding road
You left me standing here
A long long time ago
Don't keep me waiting here
Lead me to your door"
Love Me Do,"Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do

Someone to love
Somebody new
Someone to love
Someone like you

Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do
Yeah, love me do
Whoa, oh, love me do"
From Me To You,"Da da da, da da dumb dumb da
Da da da, da da dumb dumb da
If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you

I've got everything that you want
Like a heart that's oh so true
Just call on me and I'll send it along
With love, from me to you

I've got arms that long to hold you
And keep you by my side
I've got lips that long to kiss you
And keep you satisfied (oh)

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you

From me
To you
Just call on me and I'll send it along
With love, from me to you

I've got arms that long to hold you
And keep you by my side
I've got lips that long to kiss you
And keep you satisfied (oh)

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you
To you
To you
To you"
She Loves You,"She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah

You 
think
 you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's 
thinking
 of
And she told me what to say-yi-yay

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

She said you hurt her so
She 
almost
 lost her mind
And now she says she knows
You're not the 
hurting
 kind

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad

You know it's up to you
I 
think
 it's only fair
Pride can hurt you too
Apologize to her

Because she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad
With a love like that
you know you 
should
 be glad
With a love like that
you know you 
should
 be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
I Want To Hold Your Hand,"Oh yeah I tell you somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

Oh please say to me
You'll let me be your man
And please say to me
You'll let me hold your hand
Now, let me hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I feel that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand
I want to hold your hand"
Can’t Buy Me Love,"You say you want a revolution
Well, you know
We all want to 
change
 the world
You tell me that it's evolution
Well, you know
We all want to 
change
 the world

But when you talk 
about
 destruction
Don't you know that you can 
count
 me out
Don't you know it's 
gonna
 be 
All right, all right, all right

You say you got a real solution
Well, you know
We'd all love to see the plan
You ask me for a contribution
Well, you know
We're 
doing
 what we can

But if you want 
money
 for 
people
 with 
minds
 that hate
All I can tell is 
brother
 you have to wait
Don't you know it's 
gonna
 be 
All right, all right, all right

You say you'll 
change
 the constitution
Well, you know
We all want to 
change
 your head
You tell me it's the institution
Well, you know
You 
better
 free you mind instead

But if you go 
carrying
 pictures of 
chairman
 Mao
You ain't 
going
 to make it with 
anyone
 anyhow
Don't you know it's 
gonna
 be 
All right, all right, all right
All right, all right, all right
All right, all right, all right
All right, all right"
A Hard Day’s Night,"It's been a hard day's night, and I been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright

You know I work all day to get you 
money
 to buy you things
And it's 
worth
 it just to hear you say you're 
going
 to give me everything
So why on 
earth
 should I moan, 'cause when I get you alone
You know I feel ok

When I'm home 
everything
 seems to be right
When I'm home 
feeling
 you 
holding
 me tight, tight

Owww!
So why on 
earth
 should I moan, 'cause when I get you alone
You know I feel ok

When I'm home 
everything
 seems to be right
When I'm home 
feeling
 you 
holding
 me tight, tight, yeah

It's been a hard day's night, and I been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright
You know I feel alright
You know I feel alright..."
I Feel Fine,"Baby's good to me, you know
She's happy as can be, you know
She said so
I'm in love with her and I feel fine

Baby says she's mine, you know
She tells me all the time, you know
She said so
I'm in love with her and I feel fine

I'm so glad that she's my little girl
She's so glad, she's telling all the world
That here baby buys her things, you know
He buys her diamond rings, you know
She said so
She's in love with me and I feel fine

Baby says she's mine, you know
She tells me all the time, you know
She said so
I'm in love with her and I feel fine

I'm so glad that she's my little girl
She's so glad, she's telling all the world
That her baby buys her things, you know
He buys her diamond rings, you know
She said so
She's in love with me and I feel fine
She's in love with me and I feel fine"
Eight Days A Week,"Oh, I need your love, babe
Guess you know it's true
Hope you need my love babe
Just like I need you

Hold me, love me, hold me, love me
I ain't got nothing but love, babe
Eight days a week

Love you every day, girl
Always on my mind
One thing I can say, girl
Love you all the time

Hold me, love me, hold me, love me
I ain't got nothing but love, girl
Eight days a week

Eight days a week
I love you
Eight days a week
Is not enough to show I care

Ooh I need your love, babe
Guess you know it's true
Hope you need my love babe
Just like I need you

Hold me, love me, hold me, love me
I ain't got nothing but love, babe
Eight days a week

Eight days a week
I love you
Eight days a week
is not enough to show I care

Love you every day, girl
Always on my mind
One thing I can say girl
Love you all the time

Hold me, love me, hold me, love me
I ain't got nothing but love, babe
Eight days a week
Eight days a week
Eight days a week"
Ticket To Ride,"I 
think
 I'm 
gonna
 be sad,
I 
think
 it's today, yeah.
The girl that's 
driving
 me mad
Is 
going
 away.

[Chorus]
She's got a 
ticket
 to ride,
She's got a 
ticket
 to ride,
She's got a 
ticket
 to ride,
But she don't care.

She said that 
living
 with me
Is 
bringing
 her down yeah.
For she 
would
 never be free
When I was around.

[Chorus]

I don't know why she's ridin' so high,
She 
ought
 to 
think
 twice,
She 
ought
 to do 
right
 by me.
Before she gets to 
saying
 goodbye,
She 
ought
 to 
think
 twice,
She 
ought
 to do 
right
 by me.

I 
think
 I'm gonna' be sad,
I 
think
 it's 
today
 yeah.
The girl that's 
driving
 me mad
Is 
going
 away, yeah.

[Chorus]

I don't know why she's ridin' so high,
She 
ought
 to 
think
 twice,
She 
ought
 to do 
right
 by me.
Before she gets to 
saying
 goodbye,
She 
ought
 to 
think
 twice,
She 
ought
 to do 
right
 by me

She said that 
living
 with me,
Is 
bringing
 her down, yeah.
For she 
would
 never be free
When I was around.

[Chorus]

[Repeat: x3]
My baby don't care, my baby don't care."
Help!,"(Help) I need somebody
(Help) not just anybody
(Help) you know I need someone
(Help)

(When) when I was 
younger
 (when I was young) so much 
younger
 than today
(I 
never
 needed) I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

(Now) and now my life has 
changed
 (my life has changed) in oh-so-many ways (my independence)
My 
independence
 seems to 
vanish
 in the haze
(But) but 
every
 now and then (now and then) I feel so 
insecure
 (I know that I)
I know that I just need you like I 
never
 done before

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

When I was younger, so much 
younger
 than today
I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find, I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me, help me, help me, ooh?"
